,Player,Pos,Team,Home/Away,Spread,Completions,Attempts,YDS,AVG,TD,INT,QBR,Opponent,Player Cmp%,Player TD%,Player Int%,Player YDS / ATT,Player ADJUSTED YDS / ATT,Player YDS / COMP,Player YDS / G,Player TD/G,Player INT / G,Player ATT / G,Player COMP / G,Team TD/G,Team Points/G,Team Rush Avg.,Team RUSH TD/G,Team Rush Att/G,Team Rush Yards/G,Team Passing  Pct.,Team Passing Yards/Att,Team Passing TD / G,Team INT/G,Team Passing Att/G,Team Passing Yards/G,Team Total Yards/Play,Team Total Yards/G,Opp TD/G,Opp Points/G,Opp Rush Avg.,Opp Rush TD/ G,Opp Rush Att/G,Opp Rush Yards/G,Opp Passing Pct.,Opp Passing Yards/Att,Opp Passing Att/G,Opp Passing Yards/G,Opp Passing Comp / G,Opp Passing TDs /G,Opp INT / G,Opp Total Yards/Play,Opp Total Yards/G,Opp 3rd Down Conversion %,Opp Sacks/G,Opp Passes Defended/G
0,Luke Altmyer,QB,Illinois,1,4.5,16,25,192,7.7,0,0,68.0,Kansas,60.8,6.3,1.7,7.8,8.32,12.9,209.0,1.692307692307692,0.4615384615384616,26.69230769230769,16.23076923076923,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.083333333333333,26.0,4.47,0.8333333333333334,34.33,153.5,63.1,8.0,30.0,239.1,18.91666666666667,2.083333333333333,1.0,6.1,392.6,44.08,2.33,4.67
1,Luke Altmyer,QB,Illinois,1,-17.5,19,29,242,8.3,2,0,65.1,Central Michigan,60.8,6.3,1.7,7.8,8.32,12.9,209.0,1.692307692307692,0.4615384615384616,26.69230769230769,16.23076923076923,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.333333333333333,29.7,4.58,1.666666666666667,37.08,169.75,60.1,7.1,27.3,193.8,16.41666666666667,1.416666666666667,0.1666666666666667,5.64,363.6,33.75,2.58,3.5
2,Luke Altmyer,QB,Illinois,0,9.5,21,27,215,8.0,4,0,85.9,Nebraska,60.8,6.3,1.7,7.8,8.32,12.9,209.0,1.692307692307692,0.4615384615384616,26.69230769230769,16.23076923076923,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,2.461538461538462,19.5,3.37,0.6153846153846154,30.0,101.23,63.9,7.4,29.2,216.7,18.61538461538462,1.769230769230769,0.8461538461538461,5.37,317.9,35.22,2.31,4.08
3,Luke Altmyer,QB,Illinois,0,19.5,16,25,185,7.4,1,1,36.1,Penn State,60.8,6.3,1.7,7.8,8.32,12.9,209.0,1.692307692307692,0.4615384615384616,26.69230769230769,16.23076923076923,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,1.75,16.5,3.05,0.625,33.38,101.88,60.0,6.5,29.7,192.9,17.8125,1.125,1.25,4.67,294.8,37.16,2.75,4.5
4,Luke Altmyer,QB,Illinois,1,-21.5,20,34,379,11.1,3,0,91.6,Purdue,60.8,6.3,1.7,7.8,8.32,12.9,209.0,1.692307692307692,0.4615384615384616,26.69230769230769,16.23076923076923,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,5.333333333333333,39.9,5.08,2.75,39.33,200.0,65.9,9.2,27.6,252.7,18.16666666666667,2.25,0.3333333333333333,6.76,452.7,48.3,1.83,2.83
5,Luke Altmyer,QB,Illinois,1,5.5,9,18,80,4.4,1,0,75.8,Michigan,60.8,6.3,1.7,7.8,8.32,12.9,209.0,1.692307692307692,0.4615384615384616,26.69230769230769,16.23076923076923,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,2.230769230769231,19.9,3.06,0.7692307692307693,29.62,90.69,60.1,6.4,33.5,216.3,20.15384615384615,1.461538461538461,0.9230769230769231,4.86,307.0,41.4,2.77,5.0
6,Luke Altmyer,QB,Illinois,0,22.5,17,35,161,4.6,0,2,17.6,Oregon,60.8,6.3,1.7,7.8,8.32,12.9,209.0,1.692307692307692,0.4615384615384616,26.69230769230769,16.23076923076923,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,2.285714285714286,19.4,4.14,1.142857142857143,31.43,130.0,55.7,6.2,30.0,185.9,16.71428571428572,1.071428571428571,0.8571428571428571,5.14,315.9,33.7,2.86,5.36
7,Luke Altmyer,QB,Illinois,1,2.5,20,33,226,6.8,1,0,53.3,Minnesota,60.8,6.3,1.7,7.8,8.32,12.9,209.0,1.692307692307692,0.4615384615384616,26.69230769230769,16.23076923076923,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,1.923076923076923,16.9,3.5,1.076923076923077,31.31,109.62,59.0,6.1,28.7,176.1,16.92307692307692,0.8461538461538461,1.307692307692308,4.76,285.7,38.95,2.15,5.85
8,Luke Altmyer,QB,Illinois,0,2.5,12,26,249,9.6,2,0,80.2,Rutgers,60.8,6.3,1.7,7.8,8.32,12.9,209.0,1.692307692307692,0.4615384615384616,26.69230769230769,16.23076923076923,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.384615384615385,25.4,5.21,2.0,31.23,162.77,60.0,7.0,32.8,231.1,19.69230769230769,1.384615384615385,0.6153846153846154,6.15,393.8,43.1,1.69,4.54
9,Luke Altmyer,QB,Illinois,2,-8.5,10,17,170,10.0,1,2,26.4,Northwestern,60.8,6.3,1.7,7.8,8.32,12.9,209.0,1.692307692307692,0.4615384615384616,26.69230769230769,16.23076923076923,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.166666666666667,26.3,4.0,1.833333333333333,32.5,129.92,62.7,7.1,32.6,231.8,20.41666666666667,1.25,0.8333333333333334,5.56,361.8,40.38,1.92,4.58
10,Kurtis Rourke,QB,Indiana,1,-25.5,15,24,180,7.5,1,0,48.4,Florida International,69.4,9.1,1.6,9.5,10.62,13.7,253.5,2.416666666666667,0.4166666666666667,26.66666666666667,18.5,5.538461538461538,41.3,4.37,2.846153846153846,37.77,165.08,68.1,9.4,2.538461538461538,0.4615384615384616,27.8,261.3,6.51,426.4,3.083333333333333,25.8,4.67,2.333333333333333,41.0,191.33,59.1,6.0,29.8,179.6,17.58333333333333,0.75,0.9166666666666666,5.24,370.9,32.16,1.5,3.42
11,Kurtis Rourke,QB,Indiana,0,-3.5,25,33,307,9.3,4,0,96.7,UCLA,69.4,9.1,1.6,9.5,10.62,13.7,253.5,2.416666666666667,0.4166666666666667,26.66666666666667,18.5,5.538461538461538,41.3,4.37,2.846153846153846,37.77,165.08,68.1,9.4,2.538461538461538,0.4615384615384616,27.8,261.3,6.51,426.4,3.0,25.3,3.34,1.416666666666667,28.75,96.17,65.5,7.1,34.3,244.7,22.41666666666667,1.583333333333333,0.8333333333333334,5.41,340.8,48.39,1.83,5.0
