,Player,Pos,Team,Home/Away,Spread,CAR,YDS,AVG,TD,LONG,Opponent,ATT / G,Rush Y/A,Rush Y/G,TD / G,Team TD/G,Team Points/G,Team Rush Avg.,Team RUSH TD/G,Team Rush Att/G,Team Rush Yards/G,Team Passing  Pct.,Team Passing Yards/Att,Team Passing TD / G,Team INT/G,Team Passing Att/G,Team Passing Yards/G,Team Total Yards/Play,Team Total Yards/G,Opp TD/G,Opp Points/G,Opp Rush Avg.,Opp Rush TD/ G,Opp Rush Att/G,Opp Rush Yards/G,Opp Passing Pct.,Opp Passing Yards/Att,Opp Passing Att/G,Opp Passing Yards/G,Opp Passing Comp / G,Opp Passing TDs /G,Opp INT / G,Opp Total Yards/Play,Opp Total Yards/G,Opp 3rd Down Conversion %,Opp Sacks/G,Opp Passes Defended/G
0,Kaden Feagin,RB,Illinois,1,4.5,16,40,2.5,1,8,Kansas,13.4,4.6,61.2,0.6,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.083333333333333,26.0,4.47,0.8333333333333334,34.33,153.5,63.1,8.0,30.0,239.1,18.91666666666667,2.083333333333333,1.0,6.1,392.6,44.08,2.33,4.67
1,Ca'Lil Valentine,RB,Illinois,1,4.5,8,25,3.1,0,10,Kansas,4.416666666666667,4.0,17.7,0.08333333333333333,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.083333333333333,26.0,4.47,0.8333333333333334,34.33,153.5,63.1,8.0,30.0,239.1,18.91666666666667,2.083333333333333,1.0,6.1,392.6,44.08,2.33,4.67
2,Aidan Laughery,RB,Illinois,1,4.5,4,10,2.5,0,5,Kansas,8.083333333333334,6.1,49.1,0.3333333333333333,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.083333333333333,26.0,4.47,0.8333333333333334,34.33,153.5,63.1,8.0,30.0,239.1,18.91666666666667,2.083333333333333,1.0,6.1,392.6,44.08,2.33,4.67
3,Josh McCray,RB,Illinois,1,-17.5,8,54,6.8,0,28,Central Michigan,9.0,5.2,46.8,0.7692307692307693,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.333333333333333,29.7,4.58,1.666666666666667,37.08,169.75,60.1,7.1,27.3,193.8,16.41666666666667,1.416666666666667,0.1666666666666667,5.64,363.6,33.75,2.58,3.5
4,Ca'Lil Valentine,RB,Illinois,1,-17.5,5,53,10.6,0,22,Central Michigan,4.416666666666667,4.0,17.7,0.08333333333333333,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.333333333333333,29.7,4.58,1.666666666666667,37.08,169.75,60.1,7.1,27.3,193.8,16.41666666666667,1.416666666666667,0.1666666666666667,5.64,363.6,33.75,2.58,3.5
5,Kaden Feagin,RB,Illinois,1,-17.5,10,25,2.5,1,14,Central Michigan,13.4,4.6,61.2,0.6,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.333333333333333,29.7,4.58,1.666666666666667,37.08,169.75,60.1,7.1,27.3,193.8,16.41666666666667,1.416666666666667,0.1666666666666667,5.64,363.6,33.75,2.58,3.5
6,Kaden Feagin,RB,Illinois,0,9.5,12,69,5.8,0,21,Nebraska,13.4,4.6,61.2,0.6,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,2.461538461538462,19.5,3.37,0.6153846153846154,30.0,101.23,63.9,7.4,29.2,216.7,18.61538461538462,1.769230769230769,0.8461538461538461,5.37,317.9,35.22,2.31,4.08
7,Josh McCray,RB,Illinois,0,9.5,9,38,4.2,0,9,Nebraska,9.0,5.2,46.8,0.7692307692307693,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,2.461538461538462,19.5,3.37,0.6153846153846154,30.0,101.23,63.9,7.4,29.2,216.7,18.61538461538462,1.769230769230769,0.8461538461538461,5.37,317.9,35.22,2.31,4.08
8,Aidan Laughery,RB,Illinois,0,9.5,4,30,7.5,0,21,Nebraska,8.083333333333334,6.1,49.1,0.3333333333333333,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,2.461538461538462,19.5,3.37,0.6153846153846154,30.0,101.23,63.9,7.4,29.2,216.7,18.61538461538462,1.769230769230769,0.8461538461538461,5.37,317.9,35.22,2.31,4.08
9,Ca'Lil Valentine,RB,Illinois,0,9.5,3,10,3.3,0,5,Nebraska,4.416666666666667,4.0,17.7,0.08333333333333333,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,2.461538461538462,19.5,3.37,0.6153846153846154,30.0,101.23,63.9,7.4,29.2,216.7,18.61538461538462,1.769230769230769,0.8461538461538461,5.37,317.9,35.22,2.31,4.08
