,Player,Pos,Team,Home/Away,Spread,REC,YDS,AVG,TD,LONG,Opponent,Player Rec Y/G,Player Rec Y/R,Player Catch / G,Player TD / G,Team TD/G,Team Points/G,Team Rush Avg.,Team RUSH TD/G,Team Rush Att/G,Team Rush Yards/G,Team Passing  Pct.,Team Passing Yards/Att,Team Passing TD / G,Team INT/G,Team Passing Att/G,Team Passing Yards/G,Team Total Yards/Play,Team Total Yards/G,Opp TD/G,Opp Points/G,Opp Rush Avg.,Opp Rush TD/ G,Opp Rush Att/G,Opp Rush Yards/G,Opp Passing Pct.,Opp Passing Yards/Att,Opp Passing Att/G,Opp Passing Yards/G,Opp Passing Comp / G,Opp Passing TDs /G,Opp INT / G,Opp Total Yards/Play,Opp Total Yards/G,Opp 3rd Down Conversion %,Opp Sacks/G,Opp Passes Defended/G
0,Zakhari Franklin,WR,Illinois,1,4.5,9,99,11.0,0,42,Kansas,50.2,11.9,4.230769230769231,0.3076923076923077,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.083333333333333,26.0,4.47,0.8333333333333334,34.33,153.5,63.1,8.0,30.0,239.1,18.91666666666667,2.083333333333333,1.0,6.1,392.6,44.08,2.33,4.67
1,Pat Bryant,WR,Illinois,1,4.5,3,70,23.3,0,37,Kansas,82.0,18.2,4.5,0.8333333333333334,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.083333333333333,26.0,4.47,0.8333333333333334,34.33,153.5,63.1,8.0,30.0,239.1,18.91666666666667,2.083333333333333,1.0,6.1,392.6,44.08,2.33,4.67
2,Tanner Arkin,TE,Illinois,1,4.5,1,16,16.0,0,16,Kansas,8.5,6.9,1.230769230769231,0.2307692307692308,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.083333333333333,26.0,4.47,0.8333333333333334,34.33,153.5,63.1,8.0,30.0,239.1,18.91666666666667,2.083333333333333,1.0,6.1,392.6,44.08,2.33,4.67
3,Kaden Feagin,RB,Illinois,1,4.5,1,9,9.0,0,9,Kansas,7.4,7.4,1.0,0.0,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.083333333333333,26.0,4.47,0.8333333333333334,34.33,153.5,63.1,8.0,30.0,239.1,18.91666666666667,2.083333333333333,1.0,6.1,392.6,44.08,2.33,4.67
4,Josh McCray,RB,Illinois,1,4.5,2,-2,-1.0,0,2,Kansas,8.9,8.9,1.0,0.07692307692307693,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.083333333333333,26.0,4.47,0.8333333333333334,34.33,153.5,63.1,8.0,30.0,239.1,18.91666666666667,2.083333333333333,1.0,6.1,392.6,44.08,2.33,4.67
5,Pat Bryant,WR,Illinois,1,-17.5,7,102,14.6,2,31,Central Michigan,82.0,18.2,4.5,0.8333333333333334,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.333333333333333,29.7,4.58,1.666666666666667,37.08,169.75,60.1,7.1,27.3,193.8,16.41666666666667,1.416666666666667,0.1666666666666667,5.64,363.6,33.75,2.58,3.5
6,Zakhari Franklin,WR,Illinois,1,-17.5,5,66,13.2,0,23,Central Michigan,50.2,11.9,4.230769230769231,0.3076923076923077,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.333333333333333,29.7,4.58,1.666666666666667,37.08,169.75,60.1,7.1,27.3,193.8,16.41666666666667,1.416666666666667,0.1666666666666667,5.64,363.6,33.75,2.58,3.5
7,Collin Dixon,WR,Illinois,1,-17.5,2,36,18.0,0,33,Central Michigan,20.3,14.7,1.384615384615385,0.0,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.333333333333333,29.7,4.58,1.666666666666667,37.08,169.75,60.1,7.1,27.3,193.8,16.41666666666667,1.416666666666667,0.1666666666666667,5.64,363.6,33.75,2.58,3.5
8,Kaden Feagin,RB,Illinois,1,-17.5,2,16,8.0,0,12,Central Michigan,7.4,7.4,1.0,0.0,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.333333333333333,29.7,4.58,1.666666666666667,37.08,169.75,60.1,7.1,27.3,193.8,16.41666666666667,1.416666666666667,0.1666666666666667,5.64,363.6,33.75,2.58,3.5
9,Hank Beatty,WR,Illinois,1,-17.5,1,13,13.0,0,13,Central Michigan,22.6,14.7,1.538461538461539,0.07692307692307693,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.333333333333333,29.7,4.58,1.666666666666667,37.08,169.75,60.1,7.1,27.3,193.8,16.41666666666667,1.416666666666667,0.1666666666666667,5.64,363.6,33.75,2.58,3.5
10,Ca'Lil Valentine,RB,Illinois,1,-17.5,1,6,6.0,0,6,Central Michigan,2.5,6.0,0.4166666666666667,0.0,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,3.333333333333333,29.7,4.58,1.666666666666667,37.08,169.75,60.1,7.1,27.3,193.8,16.41666666666667,1.416666666666667,0.1666666666666667,5.64,363.6,33.75,2.58,3.5
11,Pat Bryant,WR,Illinois,0,9.5,5,74,14.8,2,29,Nebraska,82.0,18.2,4.5,0.8333333333333334,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,2.461538461538462,19.5,3.37,0.6153846153846154,30.0,101.23,63.9,7.4,29.2,216.7,18.61538461538462,1.769230769230769,0.8461538461538461,5.37,317.9,35.22,2.31,4.08
12,Zakhari Franklin,WR,Illinois,0,9.5,5,50,10.0,0,17,Nebraska,50.2,11.9,4.230769230769231,0.3076923076923077,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,2.461538461538462,19.5,3.37,0.6153846153846154,30.0,101.23,63.9,7.4,29.2,216.7,18.61538461538462,1.769230769230769,0.8461538461538461,5.37,317.9,35.22,2.31,4.08
13,Tanner Arkin,TE,Illinois,0,9.5,4,28,7.0,1,12,Nebraska,8.5,6.9,1.230769230769231,0.2307692307692308,3.461538461538462,28.3,4.42,1.692307692307692,34.77,153.62,60.3,7.8,1.692307692307692,0.4615384615384616,27.2,211.2,5.89,364.8,2.461538461538462,19.5,3.37,0.6153846153846154,30.0,101.23,63.9,7.4,29.2,216.7,18.61538461538462,1.769230769230769,0.8461538461538461,5.37,317.9,35.22,2.31,4.08
